Slave count,Framework,Results type,Results codec,Count total,Count mapped,Count passedQC,Count notDuplicate,rname histogram,mapq histogram,BED join,Count BED join,Max quality join,Count max quality join,mapq selection,Count mapq selection,length10 selection,Count length10 selection,length50 selection,Count length50 selection,Mean and stddev
4,shark,rcfile,gzip,737.883,744.911,731.346,738.812,759.195,781.271,853.122,,,,,,,,,,
4,hive,rcfile,snappy,,,,,,,1879.798,18.178,123.47,14.115,24.674,14.124,26.782,18.149,24.633,14.124,49.525
4,hive,rcfile,gzip,943.327,958.315,952.213,970.198,988.206,962.201,2054.497,14.129,223.313,14.149,112.673,14.15,120.673,14.134,122.664,14.134,45.575
4,shark,rcfile,gzip,728.966,704.119,724.727,740.211,733.661,733.605,824.967,,,,,,,,,,
4,hive,orc,snappy,,,,,,,1953.618,28.197,217.48,24.124,78.692,22.155,76.709,24.108,76.624,22.133,63.575
4,hive,orc,zlib,,,,,,,2071.682,22.184,329.47,22.124,192.788,20.137,184.81,22.124,184.846,22.125,61.574
4,hive,rcfile,snappy,,,,,,,1889.77,16.183,115.516,14.124,24.746,16.125,26.758,16.125,26.784,14.116,47.601
4,hive,rcfile,gzip,759.234,766.257,760.208,760.407,786.398,776.182,2076.412,16.126,230.826,18.141,117.037,14.152,122.959,12.133,122.662,12.091,39.557
4,shark,rcfile,gzip,731.802,719.155,734.527,728.416,737.791,739.674,869.145,,,,,,,,,,
4,hive,rcfile,snappy,,,,,,,1873.691,16.188,123.456,16.107,24.616,14.117,28.658,20.11,24.549,14.124,45.49
4,hive,rcfile,gzip,1043.24,974.267,980.208,978.208,1026.216,994.204,2058.391,14.137,225.32,12.107,110.681,14.116,120.73,12.1,120.647,12.117,43.634
4,shark,rcfile,gzip,748.95,771.471,755.222,767.58,769.93,778.064,879.543,,,,,,,,,,
4,hive,rcfile,snappy,,,,,,,1885.707,18.18,115.581,16.132,24.733,14.117,24.619,16.125,24.667,16.116,47.584
4,hive,orc,snappy,805.323,822.259,808.194,822.192,840.2,832.2,1936.568,24.139,211.47,24.124,78.823,22.124,74.748,24.124,72.698,24.125,61.832
4,hive,orc,zlib,,,,,,,2053.924,22.165,333.535,22.141,188.754,22.125,184.688,22.116,184.705,22.141,61.758
