Slave count,Framework,Results type,Results codec,Count total,Count mapped,Count passedQC,Count notDuplicate,rname histogram,mapq histogram,BED join,Count BED join,Max quality join,Count max quality join,mapq selection,Count mapq selection,length10 selection,Count length10 selection,length50 selection,Count length50 selection,Mean and stddev
31,shark,rcfile,gzip,59.877,64.823,49.257,37.557,37.254,49.425,85.322,,,,,,,,,,
31,hive,rcfile,snappy,,,,,,,339.676,14.184,79.776,14.114,24.65,12.133,23.905,12.108,20.792,14.133,43.558
31,hive,rcfile,gzip,105.273,88.18,86.165,86.147,138.159,128.161,458.449,12.131,117.525,12.115,116.73,12.117,126.688,12.117,124.68,12.116,41.551
31,shark,rcfile,gzip,63.28,68.056,50.123,40.898,39.451,34.425,77.568,,,,,,,,,,
31,impala,parquet,snappy,946.34,1256.75,1167.58,1088.42,486.44,141.80,744.44,,,,,,,,,,
31,hive,rcfile,snappy,,,,,,,315.866,14.192,83.591,14.123,24.749,14.125,24.775,14.133,22.866,14.117,45.533
31,hive,rcfile,gzip,101.245,86.164,84.157,86.141,112.168,120.157,410.387,14.137,121.349,12.114,118.597,12.108,128.722,12.117,126.656,12.116,41.509
31,shark,rcfile,gzip,70.045,76.765,49.974,38.324,39.195,44.024,77.588,,,,,,,,,,
31,impala,parquet,snappy,837.18,999.27,1078.39,1154.52,105.74,74.64,300.47,,,,,,,,,,
31,hive,rcfile,snappy,,,,,,,317.816,14.176,85.567,14.099,22.775,14.133,22.657,12.134,20.658,14.125,43.642
31,hive,rcfile,gzip,99.183,88.181,90.164,86.147,120.134,138.156,448.392,12.118,117.457,12.122,116.739,12.116,120.655,12.116,126.738,12.124,41.533
31,shark,rcfile,gzip,67.528,63.907,44.698,33.741,36.257,32.583,77.647,,,,,,,,,,
31,hive,rcfile,snappy,,,,,,,327.645,14.21,89.474,14.124,22.683,16.124,20.75,14.125,20.667,14.124,41.566
