Slave count,Framework,Results type,Results codec,Count BED join,Max quality join,Count max quality join,mapq selection,Count mapq selection,length10 selection,Count length10 selection,length50 selection,Count length50 selection,Mean and stddev
1,impala,parquet,snappy,0.87,180.06,0.66,145.33,0.75,141.52,0.75,141.49,0.74,1.96
1,impala,parquet,snappy,0.76,186.26,0.73,144.97,0.66,141.02,0.73,142.79,0.51,2.15
1,impala,parquet,snappy,0.74,184.10,0.73,141.43,0.67,141.79,0.71,141.91,0.72,2.00
1,impala,parquet,snappy,0.67,183.60,0.75,141.58,0.74,141.57,0.74,140.16,0.75,2.07
